NaN,0.0,12.0,101.58,192.05,248.0,322.3,357.12,406.32,419.12,472.29,543.22,558.0,558.0,558.0,543.22,572.98,500.07,472.29,458.7,472.29,458.7,472.29,445.31,458.7,406.32,486.08,543.22,528.64,528.64,572.98,603.53,634.88,667.02,683.39,667.02,588.16,572.98,543.22,514.25,514.25,445.31,333.71,228.56,166.76,121.52,101.58,83.43,67.06,43.75,35.81,43.75,67.06,48.01,62.0,83.43,114.68,128.56,108.03,121.52,174.99,219.13,289.27,258.02,345.32,345.32,345.32,381.33,588.16,458.7,667.02,419.12,345.32,228.56,248.0,300.08,228.56,258.02,135.81,52.48,NaN,NaN
NaN,NaN,9.92,135.81,200.88,268.24,345.32,333.71,381.33,472.29,458.7,500.07,588.16,543.22,572.98,543.22,528.64,514.25,458.7,445.31,458.7,472.29,419.12,419.12,472.29,458.7,458.7,500.07,445.31,458.7,558.0,558.0,667.02,667.02,650.85,650.85,699.96,785.76,716.72,558.0,445.31,381.33,311.09,238.18,183.42,114.68,83.43,62.0,48.01,25.4,25.4,32.14,32.14,35.81,52.48,174.99,114.68,89.28,101.58,192.05,158.72,174.99,228.56,268.24,311.09,322.3,322.3,419.12,486.08,445.31,472.29,381.33,357.12,333.71,369.12,393.73,333.71,393.73,381.33,89.28,NaN,NaN
NaN,52.48,108.03,150.88,238.18,289.27,300.08,357.12,486.08,528.64,445.31,500.07,572.98,572.98,500.07,528.64,500.07,543.22,514.25,458.7,445.31,472.29,406.32,458.7,445.31,486.08,393.73,500.07,432.12,393.73,472.29,445.31,543.22,588.16,572.98,528.64,558.0,543.22,528.64,514.25,419.12,322.3,248.0,200.88,150.88,128.56,57.14,43.75,28.67,19.44,16.76,19.44,22.32,35.81,35.81,72.32,108.03,135.81,108.03,166.76,174.99,238.18,192.05,258.02,278.65,268.24,278.65,357.12,357.12,381.33,381.33,311.09,289.27,300.08,300.08,311.09,406.32,486.08,200.88,311.09,NaN,NaN
NaN,NaN,166.76,209.91,258.02,311.09,289.27,406.32,419.12,432.12,458.7,500.07,528.64,543.22,486.08,500.07,486.08,572.98,528.64,514.25,458.7,500.07,432.12,445.31,432.12,393.73,393.73,458.7,419.12,369.12,472.29,381.33,486.08,500.07,458.7,514.25,458.7,472.29,432.12,419.12,369.12,311.09,300.08,209.91,143.25,128.56,83.43,28.67,19.44,14.28,12.0,25.4,67.06,28.67,35.81,57.14,150.88,121.52,114.68,135.81,158.72,192.05,158.72,219.13,219.13,228.56,248.0,248.0,278.65,300.08,289.27,248.0,300.08,289.27,278.65,369.12,333.71,458.7,432.12,333.71,NaN,NaN
NaN,NaN,143.25,219.13,248.0,311.09,357.12,432.12,445.31,432.12,406.32,500.07,528.64,528.64,514.25,500.07,432.12,458.7,514.25,558.0,445.31,419.12,445.31,445.31,406.32,419.12,369.12,432.12,393.73,357.12,419.12,393.73,419.12,445.31,381.33,393.73,419.12,419.12,381.33,333.71,300.08,248.0,248.0,228.56,101.58,89.28,121.52,14.28,0.0,8.04,9.92,19.44,39.68,25.4,35.81,57.14,121.52,67.06,72.32,95.33,166.76,158.72,150.88,200.88,183.42,200.88,200.88,200.88,209.91,219.13,228.56,219.13,258.02,248.0,258.02,311.09,369.12,472.29,357.12,83.43,39.68,NaN
NaN,NaN,NaN,278.65,258.02,289.27,357.12,345.32,357.12,381.33,445.31,458.7,458.7,458.7,419.12,458.7,514.25,458.7,432.12,486.08,500.07,472.29,432.12,381.33,345.32,333.71,393.73,393.73,357.12,369.12,369.12,381.33,333.71,393.73,345.32,406.32,333.71,322.3,345.32,289.27,238.18,228.56,268.24,150.88,89.28,95.33,35.81,6.35,0.0,6.35,16.76,57.14,22.32,25.4,35.81,57.14,121.52,89.28,183.42,128.56,101.58,158.72,143.25,174.99,166.76,183.42,166.76,158.72,166.76,174.99,183.42,183.42,228.56,200.88,209.91,278.65,333.71,603.53,528.64,393.73,357.12,NaN
NaN,NaN,NaN,72.32,258.02,300.08,322.3,333.71,357.12,393.73,458.7,486.08,419.12,419.12,406.32,381.33,393.73,445.31,406.32,500.07,445.31,406.32,393.73,381.33,300.08,268.24,300.08,345.32,322.3,300.08,278.65,333.71,311.09,311.09,322.3,278.65,322.3,268.24,268.24,238.18,200.88,192.05,219.13,158.72,108.03,121.52,121.52,25.4,0.0,0.0,9.92,35.81,35.81,22.32,32.14,67.06,114.68,143.25,77.77,83.43,89.28,166.76,128.56,135.81,166.76,150.88,150.88,143.25,143.25,150.88,158.72,166.76,166.76,183.42,219.13,258.02,393.73,699.96,603.53,357.12,35.81,NaN
NaN,NaN,NaN,NaN,128.56,289.27,322.3,322.3,289.27,345.32,357.12,458.7,393.73,393.73,432.12,393.73,445.31,357.12,419.12,445.31,432.12,445.31,406.32,333.71,278.65,209.91,200.88,209.91,209.91,228.56,238.18,200.88,278.65,258.02,228.56,228.56,289.27,248.0,219.13,209.91,174.99,174.99,150.88,166.76,135.81,128.56,77.77,25.4,0.0,0.0,22.32,57.14,28.67,0.89,32.14,77.77,135.81,183.42,143.25,77.77,89.28,135.81,158.72,128.56,135.81,135.81,135.81,128.56,128.56,135.81,150.88,150.88,158.72,192.05,268.24,432.12,528.64,992.0,588.16,192.05,43.75,NaN
NaN,NaN,NaN,NaN,77.77,268.24,289.27,289.27,333.71,333.71,322.3,432.12,472.29,406.32,406.32,393.73,393.73,357.12,357.12,406.32,445.31,406.32,333.71,289.27,200.88,200.88,209.91,219.13,228.56,228.56,219.13,200.88,192.05,183.42,150.88,174.99,200.88,183.42,219.13,183.42,192.05,174.99,158.72,150.88,219.13,192.05,101.58,89.28,32.14,89.28,62.0,95.33,121.52,57.14,25.4,83.43,143.25,183.42,95.33,77.77,143.25,158.72,108.03,108.03,114.68,114.68,114.68,114.68,121.52,150.88,135.81,143.25,166.76,200.88,419.12,381.33,650.85,1093.68,406.32,108.03,35.81,NaN
NaN,NaN,NaN,NaN,108.03,300.08,311.09,311.09,311.09,369.12,445.31,458.7,445.31,486.08,419.12,445.31,406.32,393.73,393.73,333.71,357.12,333.71,278.65,200.88,219.13,219.13,228.56,228.56,219.13,209.91,200.88,183.42,166.76,158.72,128.56,121.52,101.58,200.88,166.76,200.88,192.05,183.42,166.76,166.76,174.99,158.72,108.03,114.68,43.75,83.43,128.56,289.27,543.22,32.14,25.4,57.14,77.77,121.52,95.33,114.68,150.88,128.56,95.33,95.33,101.58,101.58,128.56,121.52,121.52,121.52,128.56,150.88,174.99,209.91,895.28,699.96,733.68,1289.21,1114.61,716.72,NaN,NaN
