NaN,NaN,0.168,0.176,0.211,0.14,0.191,0.183,0.152,0.18,0.164,0.14,0.164,0.164,0.168,0.156,0.191,0.187,0.187,0.164,0.223,0.203,0.203,0.203,0.183,0.215,0.207,0.227,0.207,0.215,0.239,0.211,0.207,0.211,0.227,0.239,0.243,0.207,0.203,0.219,0.223,0.172,0.203,0.168,0.207,0.199,0.215,0.207,0.219,0.172,0.219,0.168,0.144,0.12,0.128,0.136,0.113,0.164,0.286,0.195,0.168,0.172,0.282,0.258,0.376,0.298,0.25,0.365,0.428,0.416,0.447,0.498,0.498,0.329,0.392,0.53,0.514,0.569,0.577,0.794,NaN,NaN
NaN,NaN,0.215,0.203,0.199,0.164,0.172,0.176,0.195,0.144,0.152,0.136,0.164,0.144,0.191,0.176,0.18,0.156,0.144,0.117,0.18,0.183,0.199,0.168,0.14,0.18,0.156,0.191,0.219,0.207,0.195,0.176,0.18,0.183,0.227,0.191,0.16,0.199,0.203,0.164,0.18,0.215,0.195,0.14,0.148,0.148,0.199,0.227,0.199,0.156,0.18,0.16,0.12,0.101,0.12,0.124,0.124,0.183,0.25,0.164,0.164,0.199,0.278,0.262,0.372,0.341,0.337,0.353,0.341,0.475,0.491,0.329,0.345,0.376,0.471,0.498,0.522,0.577,0.569,0.664,NaN,NaN
NaN,0.223,0.302,0.239,0.223,0.172,0.152,0.187,0.164,0.164,0.172,0.168,0.16,0.191,0.128,0.18,0.172,0.172,0.195,0.199,0.105,0.164,0.176,0.187,0.187,0.164,0.195,0.176,0.176,0.199,0.239,0.302,0.199,0.211,0.211,0.207,0.219,0.168,0.203,0.152,0.176,0.176,0.211,0.152,0.203,0.148,0.164,0.168,0.136,0.081,0.12,0.152,0.148,0.136,0.144,0.136,0.18,0.148,0.144,0.16,0.18,0.195,0.235,0.294,0.329,0.246,0.306,0.317,0.254,0.317,0.274,0.282,0.278,0.357,0.376,0.349,0.369,0.455,0.601,0.743,NaN,NaN
NaN,NaN,0.306,0.29,0.274,0.172,0.176,0.183,0.168,0.191,0.187,0.148,0.168,0.18,0.18,0.172,0.172,0.18,0.168,0.168,0.168,0.172,0.195,0.164,0.191,0.191,0.191,0.187,0.211,0.215,0.176,0.203,0.227,0.231,0.223,0.227,0.223,0.219,0.239,0.207,0.195,0.164,0.164,0.128,0.12,0.14,0.136,0.168,0.109,0.113,0.128,0.144,0.136,0.136,0.156,0.207,0.156,0.14,0.148,0.152,0.164,0.187,0.203,0.207,0.25,0.29,0.309,0.306,0.313,0.286,0.369,0.333,0.298,0.349,0.325,0.42,0.467,0.479,0.719,0.809,NaN,NaN
NaN,NaN,0.329,0.195,0.282,0.187,0.191,0.199,0.183,0.183,0.136,0.203,0.176,0.176,0.168,0.176,0.117,0.152,0.128,0.144,0.187,0.164,0.168,0.168,0.172,0.195,0.199,0.199,0.187,0.191,0.18,0.219,0.223,0.207,0.219,0.231,0.25,0.254,0.235,0.223,0.191,0.199,0.12,0.105,0.093,0.128,0.156,0.132,0.097,0.117,0.124,0.113,0.148,0.124,0.14,0.132,0.176,0.16,0.16,0.152,0.191,0.164,0.231,0.183,0.286,0.298,0.286,0.298,0.294,0.357,0.321,0.306,0.298,0.227,0.369,0.53,0.337,0.451,0.609,0.581,0.506,NaN
NaN,NaN,NaN,0.223,0.235,0.215,0.203,0.195,0.195,0.203,0.207,0.215,0.16,0.148,0.18,0.152,0.16,0.16,0.18,0.168,0.156,0.152,0.187,0.183,0.183,0.199,0.199,0.195,0.219,0.219,0.211,0.18,0.215,0.187,0.215,0.207,0.227,0.246,0.223,0.215,0.18,0.195,0.132,0.132,0.109,0.14,0.105,0.109,0.038,0.117,0.164,0.136,0.144,0.136,0.117,0.152,0.164,0.176,0.136,0.16,0.235,0.164,0.219,0.231,0.29,0.239,0.286,0.325,0.278,0.302,0.404,0.428,0.345,0.27,0.333,0.38,0.542,0.431,0.439,0.758,0.88,NaN
NaN,NaN,NaN,0.254,0.187,0.183,0.278,0.262,0.191,0.199,0.172,0.243,0.156,0.199,0.183,0.191,0.164,0.164,0.168,0.172,0.172,0.168,0.191,0.176,0.172,0.183,0.195,0.203,0.191,0.223,0.223,0.187,0.219,0.183,0.211,0.219,0.211,0.207,0.203,0.211,0.18,0.183,0.12,0.105,0.101,0.132,0.132,0.136,0.014,0.12,0.176,0.12,0.128,0.128,0.156,0.16,0.176,0.191,0.168,0.132,0.183,0.219,0.144,0.282,0.278,0.231,0.282,0.357,0.325,0.451,0.294,0.223,0.325,0.357,0.321,0.345,0.428,0.376,0.683,0.853,0.731,NaN
NaN,NaN,NaN,NaN,0.223,0.199,0.262,0.262,0.168,0.254,0.254,0.254,0.148,0.12,0.219,0.211,0.176,0.164,0.18,0.199,0.152,0.12,0.187,0.199,0.199,0.203,0.16,0.148,0.231,0.183,0.223,0.207,0.183,0.219,0.215,0.195,0.223,0.191,0.195,0.211,0.203,0.176,0.199,0.132,0.128,0.14,0.144,0.148,0.097,0.085,0.156,0.117,0.136,0.12,0.144,0.16,0.183,0.132,0.164,0.12,0.203,0.231,0.258,0.278,0.231,0.27,0.258,0.329,0.246,0.29,0.258,0.337,0.333,0.317,0.392,0.435,0.4,0.557,0.723,0.746,0.75,NaN
NaN,NaN,NaN,NaN,0.341,0.246,0.187,0.195,0.266,0.231,0.27,0.227,0.258,0.199,0.203,0.254,0.274,0.243,0.152,0.227,0.187,0.191,0.144,0.246,0.203,0.199,0.136,0.144,0.191,0.227,0.195,0.18,0.195,0.235,0.219,0.18,0.195,0.203,0.223,0.195,0.207,0.211,0.231,0.203,0.136,0.124,0.144,0.148,0.132,0.124,0.152,0.152,0.156,0.136,0.128,0.164,0.191,0.152,0.195,0.144,0.207,0.278,0.262,0.302,0.29,0.333,0.345,0.258,0.25,0.345,0.317,0.262,0.246,0.325,0.53,0.372,0.349,0.459,0.68,0.687,0.778,NaN
NaN,NaN,NaN,NaN,0.329,0.266,0.219,0.18,0.156,0.176,0.274,0.298,0.306,0.262,0.239,0.282,0.254,0.227,0.262,0.132,0.176,0.128,0.223,0.191,0.195,0.14,0.124,0.132,0.144,0.164,0.168,0.152,0.156,0.168,0.195,0.164,0.168,0.246,0.227,0.231,0.223,0.183,0.191,0.215,0.203,0.195,0.215,0.215,0.12,0.191,0.168,0.144,0.187,0.144,0.14,0.168,0.195,0.164,0.258,0.215,0.172,0.246,0.282,0.27,0.282,0.321,0.376,0.282,0.337,0.274,0.243,0.262,0.372,0.313,0.542,0.439,0.428,0.51,0.624,0.829,NaN,NaN
